id,category,name,mainIngredients,subIngredients,seasonings,externalProvider,externalLinkType,externalUrl,note
1,국·찌개,돼지김치찌개,"김치, 돼지고기","두부, 대파, 양파, 청양고추","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%8F%BC%EC%A7%80%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
2,국·찌개,참치김치찌개,"김치, 참치캔","두부, 대파, 양파","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%B0%B8%EC%B9%98%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
3,국·찌개,꽁치김치찌개,"김치, 꽁치캔","두부, 대파, 양파","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%BD%81%EC%B9%98%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
4,국·찌개,스팸김치찌개,"김치, 스팸","두부, 대파, 양파","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%8A%A4%ED%8C%B8%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
5,국·찌개,된장찌개,"된장, 두부","애호박, 양파, 감자, 버섯, 대파","다진마늘, 고춧가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
6,국·찌개,차돌된장찌개,"된장, 차돌박이","두부, 애호박, 양파, 버섯","다진마늘, 고춧가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%B0%A8%EB%8F%8C%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
7,국·찌개,순두부찌개,"순두부, 계란","돼지고기, 바지락, 대파, 양파","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%88%9C%EB%91%90%EB%B6%80%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
8,국·찌개,해물순두부찌개,"순두부, 해산물","계란, 대파, 양파, 청양고추","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%ED%95%B4%EB%AC%BC%EC%88%9C%EB%91%90%EB%B6%80%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
9,국·찌개,바지락순두부찌개,"순두부, 바지락","계란, 대파, 양파","고춧가루, 국간장, 다진마늘, 참기름",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B0%94%EC%A7%80%EB%9D%BD%EC%88%9C%EB%91%90%EB%B6%80%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
10,국·찌개,고추장찌개,"고추장, 돼지고기","감자, 애호박, 양파, 두부","고춧가루, 다진마늘, 국간장",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EA%B3%A0%EC%B6%94%EC%9E%A5%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
11,국·찌개,청국장찌개,"청국장, 두부","김치, 애호박, 양파, 버섯","된장, 다진마늘",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EC%B2%AD%EA%B5%AD%EC%9E%A5%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
12,국·찌개,비지찌개,"콩비지, 김치","돼지고기, 대파, 양파","국간장, 다진마늘, 고춧가루",만개의레시피,search_results,https://www.10000recipe.com/recipe/list.html?q=%EB%B9%84%EC%A7%80%EC%B0%8C%EA%B0%9C&order=reco&page=1,MVP용 만개의레시피 검색결과 링크. 대표 상세 레시피 URL은 추후 수집기/수동검수로 확정 권장.
